ID,poNumber,vendor,orderDate,totalAmount,currency,status
11111111-0000-0000-0000-000000000001,PO-1001,Infosys Limited,2024-01-10,85000.00,INR,DRAFT
11111111-0000-0000-0000-000000000002,PO-1002,TCS Technologies,2024-01-15,120000.00,INR,APPROVED
11111111-0000-0000-0000-000000000003,PO-1003,Wipro Enterprises,2024-01-20,45000.00,USD,DRAFT
11111111-0000-0000-0000-000000000004,PO-1004,HCL Systems,2024-02-01,200000.00,INR,SUBMITTED
11111111-0000-0000-0000-000000000005,PO-1005,Tech Mahindra,2024-02-05,67500.00,EUR,APPROVED
11111111-0000-0000-0000-000000000006,PO-1006,Cognizant India,2024-02-10,95000.00,INR,DRAFT
11111111-0000-0000-0000-000000000007,PO-1007,Accenture Ltd,2024-02-15,310000.00,USD,APPROVED
11111111-0000-0000-0000-000000000008,PO-1008,Capgemini India,2024-02-20,55000.00,INR,SUBMITTED
11111111-0000-0000-0000-000000000009,PO-1009,IBM India Pvt,2024-03-01,175000.00,INR,DRAFT
11111111-0000-0000-0000-000000000010,PO-1010,Mphasis Limited,2024-03-05,88000.00,EUR,APPROVED